t_rel_tca_min,t_s,u_norm_um_s2,tracking_error_m
-115.5,3180,0,0
-115,3210,0,3.839941347e-09
-114.5,3240,0,3.226196035e-09
-114,3270,0,7.805905591e-09
-113.5,3300,0,8.835301716e-09
-113,3330,0,6.519258022e-09
-112.5,3360,28.32698869,5.350040874e-09
-112,3390,47.12825023,0.6400810687
-111.5,3420,58.89750864,1.246040736
-111,3450,65.50430904,1.803755584
-110.5,3480,68.35022587,2.30457462
-110,3510,68.48597766,2.743882282
-109.5,3540,66.69924129,3.120015238
-109,3570,63.58043514,3.433446564
-108.5,3600,59.57193959,3.686170808
-108,3630,55.004889,3.881240252
-107.5,3660,50.12665902,4.022415068
-107,3690,45.12140355,4.113899384
-106.5,3720,40.12541033,4.160142376
-106,3750,35.2385999,4.165688709
-105.5,3780,30.53315673,4.135066603
-105,3810,26.06002938,4.072704669
-104.5,3840,21.85384726,3.982870916
-104,3870,17.93666159,3.869628925
-103.5,3900,14.32081488,3.736807322
-103,3930,11.01117277,3.587979715
-102.5,3960,8.006920925,3.426452781
-102,3990,5.303215768,3.255260858
-101.5,4020,2.893905618,3.077165595
-101,4050,0.7986208821,2.894659612
-100.5,4080,1.170659447,2.709973347
-100,4110,2.7705769,2.52508437
-99.5,4140,4.153310479,2.341728571
-99,4170,5.321057316,2.161412815
-98.5,4200,6.288468799,1.985428675
-98,4230,7.071584395,1.814866879
-97.5,4260,7.686580411,1.650632334
-97,4290,8.14937918,1.493459408
-96.5,4320,8.475445825,1.343927464
-96,4350,8.679654998,1.202476476
-95.5,4380,8.776195771,1.06942279
-95,4410,8.778502878,0.9449750696
-94.5,4440,8.699208424,0.8292507287
-94,4470,8.550110355,0.7222932521
-93.5,4500,8.342155181,0.6240911282
-93,4530,8.085432777,0.5345996385
-92.5,4560,7.789181472,0.453767462
-92,4590,7.461801894,0.3815708935
-91.5,4620,7.110878193,0.3180590727
-91,4650,6.743205352,0.2634114499
-90.5,4680,6.364821525,0.2179957517
-90,4710,5.981044355,0.1823721777
-89.5,4740,5.596510349,0.1571035764
-89,4770,5.215216514,0.1422127276
-88.5,4800,4.840563496,0.136510033
-88,4830,4.475399604,0.1375779432
-87.5,4860,4.122065101,0.1426361428
-87,4890,3.782436333,0.1494000278
-86.5,4920,3.457969217,0.1563450149
-86,4950,3.149741775,0.1625799156
-85.5,4980,2.858495357,0.1676399238
-85,5010,2.584674291,0.1713230946
-84.5,5040,2.328464068,0.1735834732
-84,5070,2.089827448,0.1744655214
-83.5,5100,1.868536002,0.1740640423
-83,5130,1.664215413,0.172501698
-82.5,5160,1.476354024,0.1699109464
-82,5190,1.304348879,0.1664279955
-81.5,5220,1.147527785,0.1621855698
-81,5250,1.005175296,0.1573097444
-80.5,5280,0.8765577719,0.1519179031
-80,5310,0.760947929,0.1461176569
-79.5,5340,0.657649462,0.1400063947
-79,5370,0.566022294,0.1336712661
-78.5,5400,0.4855082289,0.1271894578
-78,5430,0.4156554957,0.1206286599
-77.5,5460,0.3561360806,0.1140476622
-77,5490,0.3067414234,0.1074970323
-76.5,5520,0.2673290678,0.1010198172
-76,5550,0.2376870736,0.09465225254
-75.5,5580,0.2173158882,0.08842448291
-75,5610,0.2052215358,0.08236125013
-74.5,5640,0.1998911259,0.07648251736
-74,5670,0.1995224641,0.07080409042
-73.5,5700,0.2023628071,0.06533815808
-73,5730,0.206952417,0.06009382841
-72.5,5760,0.2122044894,0.05507764654
-72,5790,0.2173618467,0.05029347878
-71.5,5820,0.2219341292,0.04574378862
-71,5850,0.2256186767,0.04142925514
-70.5,5880,0.2282422693,0.03734924361
-70,5910,0.2297193942,0.0335020418
-69.5,5940,0.230023702,0.02988504945
-69,5970,0.2291687621,0.02649498203
-68.5,6000,0.2271951836,0.02332804277
-68,6030,0.2241618241,0.02038014513
-67.5,6060,0.2201399539,0.01764707991
-67,6090,0.2152091181,0.01512480992
-66.5,6120,0.2094540831,0.0128099079
-66,6150,0.2029626819,0.01070018034
-65.5,6180,0.1958241682,0.008795819283
-65,6210,0.1881278721,0.007101505632
-64.5,6240,0.1799620463,0.005630436348
-64,6270,0.1714130699,0.004411522173
-63.5,6300,0.1625646627,0.003499049989
-63,6330,0.1534972144,0.002967676132
-62.5,6360,0.1442872994,0.002849082904
-62,6390,0.1350071241,0.003053199009
-61.5,6420,0.1257243056,0.003425203218
-61,6450,0.1165015391,0.003847203094
-60.5,6480,0.1073962944,0.004255181261
-60,6510,0.09846076207,0.004618762697
-59.5,6540,0.08974179487,0.004924878117
-59,6570,0.08128083846,0.005169153328
-58.5,6600,0.07311404363,0.005351713965
-58,6630,0.06527231756,0.005475065644
-57.5,6660,0.05778149324,0.005542995931
-57,6690,0.05066245957,0.005559947676
-56.5,6720,0.0439314403,0.005530694109
-56,6750,0.03760026074,0.005460110402
-55.5,6780,0.03163565434,0.00535285641
-55,6810,0.02615752455,0.005213907726
-54.5,6840,0.02104640581,0.005048008093
-54,6870,0.01638387465,0.004859251523
-53.5,6900,0.01209518389,0.004651696676
-53,6930,0.008194251199,0.004429117546
-52.5,6960,0.004742692449,0.004195062325
-52,6990,0.001797298854,0.00395276875
-51.5,7020,0.001591343887,0.003705164176
-51,7050,0.003822865789,0.003454930969
-50.5,7080,0.005891932466,0.003204466534
-50,7110,0.00768413551,0.002955918722
-49.5,7140,0.009203122383,0.002711137965
-49,7170,0.01046526631,0.002471747365
-48.5,7200,0.01148979247,0.002239120337
-48,7230,0.01235421143,0.00201441782
-47.5,7260,0.01302152835,0.001798677278
-47,7290,0.01349143293,0.001592828067
-46.5,7320,0.0137570049,0.001397560052
-46,7350,0.01388315657,0.001213402823
-45.5,7380,0.01387376448,0.001040739865
-45,7410,0.01370421839,0.0008798188394
-44.5,7440,0.01345518951,0.0007307869217
-44,7470,0.0131241679,0.0005937464077
-43.5,7500,0.01267373458,0.0004687862836
-43,7530,0.01219168643,0.0003561541061
-42.5,7560,0.01166959712,0.0002565509358
-42,7590,0.01106260284,0.0001724064632
-41.5,7620,0.01045921817,0.0001119651769
-41,7650,0.009847017491,9.556099267e-05
-40.5,7680,0.00922927692,0.0001236291949
-40,7710,0.008524380619,0.0001660331995
-39.5,7740,0.007876491614,0.0002079065496
-39,7770,0.007254592066,0.0002451667663
-38.5,7800,0.006652808118,0.0002768253486
-38,7830,0.006073249746,0.0003028332751
-37.5,7860,0.00540851058,0.0003234552226
-37,7890,0.004839034096,0.0003390322887
-36.5,7920,0.004317304652,0.0003499488578
-36,7950,0.003829036329,0.0003566154671
-35.5,7980,0.003371742801,0.000359480922
-35,8010,0.002947020309,0.0003589697422
-34.5,8040,0.002557936307,0.000355513758
-34,8070,0.002208261133,0.0003495131618
-33.5,8100,0.001679729221,0.0003413768996
-33,8130,0.001335672579,0.0003314589511
-32.5,8160,0.00106863964,0.0003200642456
-32,8190,0.0008358315306,0.0003074584962
-31.5,8220,0.0006230143908,0.0002938684417
-31,8250,0.0004268807706,0.0002795252731
-30.5,8280,0.000248503182,0.0002646230709
-30,8310,9.783044465e-05,0.0002493395054
-29.5,8340,9.66547828e-05,0.0002338588913
-29,8370,0.0002143897925,0.0002183293605
-28.5,8400,0.0003257523322,0.0002028910521
-28,8430,0.0004226291137,0.0001876564846
-27.5,8460,0.0005045156896,0.0001727442887
-27,8490,0.0005719532454,0.0001582481806
-26.5,8520,0.0006258145795,0.0001442564569
-26,8550,0.000667121867,0.0001308291975
-25.5,8580,0.0006969706129,0.0001180370823
-25,8610,0.0007164870586,0.0001059421944
-24.5,8640,0.0007268003297,9.458915029e-05
-24,8670,0.0007290228665,8.402958403e-05
-23.5,8700,0.0007242362985,7.431859335e-05
-23,8730,0.000713481242,6.550787193e-05
-22.5,8760,0.0006977500655,5.767851446e-05
-22,8790,0.0006779819515,5.089765131e-05
-21.5,8820,0.0006550597281,4.527664529e-05
-21,8850,0.0006298080273,4.088861278e-05
-20.5,8880,0.0006029923568,3.779677188e-05
-20,8910,0.0005753186735,3.59818514e-05
-19.5,8940,0.0005474330308,3.533735886e-05
-19,8970,0.0005199208428,3.563223067e-05
-18.5,9000,0.0004933053083,3.664536633e-05
-18,9030,0.0004680445943,3.812383388e-05
-17.5,9060,0.0004445275486,3.986805443e-05
-17,9090,0.0004230680542,4.172731632e-05
-16.5,9120,0.0004038986544,4.36357993e-05
-16,9150,0.0003871647178,4.542427265e-05
-15.5,9180,0.000372920953,4.709939602e-05
-15,9210,0.0003611322522,4.863733044e-05
-14.5,9240,0.0003516803577,5.002298213e-05
-14,9270,0.0003443767062,5.125524673e-05
-13.5,9300,0.0003389803349,5.233593168e-05
-13,9330,0.0003352185108,5.328497394e-05
-12.5,9360,0.0003328072435,5.411776148e-05
-12,9390,0.0003314691931,5.485581244e-05
-11.5,9420,0.0003309474093,5.55328992e-05
-11,9450,0.0003310143997,5.618816989e-05
-10.5,9480,0.000331476877,5.686287288e-05
-10,9510,0.00033217702,5.760464652e-05
-9.5,9540,0.0003329912318,5.846260595e-05
-9,9570,0.0003338273016,5.949247163e-05
-8.5,9600,0.0003346206921,6.075293405e-05
-8,9630,0.0003353304631,6.230510885e-05
-7.5,9660,0.0004950711728,6.420057979e-05
-7,9690,0.0007398919191,6.627314391e-05
-6.5,9720,0.000861674842,6.820776716e-05
-6,9750,0.0009003957293,6.981694531e-05
-5.5,9780,0.000888611691,7.099812878e-05
-5,9810,0.0008472539575,7.170876569e-05
-4.5,9840,0.0007894780986,7.1941223e-05
-4,9870,0.0007235860951,7.171390158e-05
-3.5,9900,0.0006548698097,7.106509754e-05
-3,9930,0.0005867411067,7.004068675e-05
-2.5,9960,0.0005214275133,6.868565953e-05
-2,9990,0.0004604074155,6.705819883e-05
-1.5,10020,0.0004046876072,6.521535296e-05
-1,10050,0.0003549814455,6.322457203e-05
-0.5,10080,0.0003118170447,6.114757673e-05
0,10110,0.0002755847879,5.905598057e-05
0.5,10140,0.0002465211449,5.688921312e-05
