# Radio de exclusion inflado d0 + k*sigma a lo largo del horizonte, con la covarianza propagada de dos maneras. Tres particiones del mismo horizonte.
case,step_h_s,t_into_horizon_s,radius_perstep_m,radius_vanloan_m
1,5,5,154.5174661,154.5757516
1,5,10,154.5365187,154.6808144
1,5,15,154.5670022,154.8474301
1,5,20,154.6151951,155.0990378
1,5,25,154.6869559,155.4514095
1,5,30,154.7874944,155.911906
1,5,35,154.9211453,156.4806255
1,5,40,155.0911949,157.1527273
1,5,45,155.299801,157.9208366
1,5,50,155.5480223,158.7768424
1,5,55,155.8359448,159.712953
1,5,60,156.1628726,160.7221806
1,5,65,156.5275414,161.7984782
1,5,70,156.9283224,162.9367025
1,5,75,157.3633939,164.1325062
1,5,80,157.8308722,165.3822138
1,5,85,158.3289032,166.6827039
1,5,90,158.8557204,168.0313086
1,5,95,159.4096777,169.4257299
1,5,100,159.9892639,170.863972
1,5,105,160.5931048,172.3442874
1,5,110,161.2199588,173.8651333
1,5,115,161.8687079,175.4251374
1,5,120,162.5383467,177.0230703
1,5,125,163.2279714,178.6578229
1,5,130,163.9367685,180.3283887
1,5,135,164.6640045,182.0338489
1,5,140,165.4090163,183.7733603
1,5,145,166.1712032,185.5461456
1,5,150,166.9500191,187.3514849
1,5,155,167.7449662,189.188709
1,5,160,168.555589,191.0571932
1,5,165,169.3814696,192.9563527
1,5,170,170.2222234,194.8856382
1,5,175,171.0774952,196.8445325
1,5,180,171.946956,198.8325469
1,5,185,172.8303001,200.8492193
1,5,190,173.7272429,202.8941108
1,5,195,174.6375186,204.9668047
1,5,200,175.560878,207.0669038
1,5,205,176.4970875,209.1940295
1,5,210,177.4459271,211.3478199
1,5,215,178.4071893,213.5279288
1,5,220,179.3806781,215.7340242
1,5,225,180.3662079,217.9657879
1,5,230,181.3636026,220.2229142
1,5,235,182.3726948,222.5051088
1,5,240,183.3933252,224.8120887
1,5,245,184.4253418,227.1435812
1,5,250,185.4685996,229.499323
1,5,255,186.5229598,231.8790601
1,5,260,187.5882896,234.2825472
1,5,265,188.6644616,236.709547
1,5,270,189.7513537,239.15983
1,5,275,190.8488482,241.6331737
1,5,280,191.9568323,244.1293629
1,5,285,193.075197,246.6481887
1,5,290,194.2038376,249.1894488
1,5,295,195.3426529,251.7529466
1,5,300,196.4915452,254.3384912
1,5,305,197.65042,256.9458973
1,5,310,198.8191863,259.5749847
1,5,315,199.9977557,262.2255783
1,5,320,201.1860427,264.8975078
1,5,325,202.3839645,267.5906073
1,5,330,203.5914408,270.3047155
1,5,335,204.8083937,273.0396752
1,5,340,206.0347477,275.7953335
1,5,345,207.2704295,278.5715413
1,5,350,208.5153677,281.3681531
1,5,355,209.7694931,284.1850275
1,5,360,211.0327385,287.0220263
1,5,365,212.3050382,289.8790148
1,5,370,213.5863288,292.7558616
1,5,375,214.8765481,295.6524385
1,5,380,216.1756358,298.5686205
1,5,385,217.4835333,301.5042855
1,5,390,218.8001832,304.4593142
1,5,395,220.12553,307.4335904
1,5,400,221.4595191,310.4270005
1,5,405,222.8020977,313.4394336
1,5,410,224.1532143,316.4707813
1,5,415,225.5128184,319.5209378
1,5,420,226.880861,322.5897999
1,5,425,228.2572944,325.6772666
1,5,430,229.6420717,328.7832393
1,5,435,231.0351475,331.9076218
1,5,440,232.4364774,335.0503199
1,5,445,233.8460181,338.2112418
1,5,450,235.2637273,341.3902978
1,5,455,236.6895637,344.5874001
1,5,460,238.1234871,347.8024631
1,5,465,239.5654583,351.0354032
1,5,470,241.0154389,354.2861387
1,5,475,242.4733916,357.5545897
1,5,480,243.9392798,360.8406785
1,5,485,245.4130682,364.1443289
1,5,490,246.8947218,367.4654668
1,5,495,248.3842069,370.8040195
1,5,500,249.8814905,374.1599164
2,10,10,154.5199558,154.6808144
2,10,20,154.5563152,155.0990378
2,10,30,154.637892,155.911906
2,10,40,154.7874962,157.1527273
2,10,50,155.0229736,158.7768424
2,10,60,155.3554176,160.7221806
2,10,70,155.7888557,162.9367025
2,10,80,156.3214991,165.3822138
2,10,90,156.9478082,168.0313086
2,10,100,157.6604802,170.863972
2,10,110,158.451873,173.8651333
2,10,120,159.314811,177.0230703
2,10,130,160.2429328,180.3283887
2,10,140,161.2307686,183.7733603
2,10,150,162.2736829,187.3514849
2,10,160,163.3677674,191.0571932
2,10,170,164.5097237,194.8856382
2,10,180,165.6967557,198.8325469
2,10,190,166.9264777,202.8941108
2,10,200,168.1968383,207.0669038
2,10,210,169.5060596,211.3478199
2,10,220,170.852588,215.7340242
2,10,230,172.2350548,220.2229142
2,10,240,173.6522458,224.8120887
2,10,250,175.1030755,229.499323
2,10,260,176.5865673,234.2825472
2,10,270,178.1018374,239.15983
2,10,280,179.6480811,244.1293629
2,10,290,181.2245626,249.1894488
2,10,300,182.8306054,254.3384912
2,10,310,184.4655852,259.5749847
2,10,320,186.1289235,264.8975078
2,10,330,187.8200829,270.3047155
2,10,340,189.538562,275.7953335
2,10,350,191.2838921,281.3681531
2,10,360,193.055634,287.0220263
2,10,370,194.8533749,292.7558616
2,10,380,196.6767266,298.5686205
2,10,390,198.5253227,304.4593142
2,10,400,200.3988176,310.4270005
2,10,410,202.2968843,316.4707813
2,10,420,204.2192134,322.5897999
2,10,430,206.1655118,328.7832393
2,10,440,208.1355014,335.0503199
2,10,450,210.1289184,341.3902978
2,10,460,212.1455124,347.8024631
2,10,470,214.1850456,354.2861387
2,10,480,216.2472922,360.8406785
2,10,490,218.3320375,367.4654668
2,10,500,220.4390779,374.1599164
3,4,4,154.5171673,154.5596493
3,4,8,154.5341373,154.6329269
3,4,12,154.5584214,154.7386116
3,4,16,154.5940849,154.8903267
3,4,20,154.645001,155.0990378
3,4,24,154.7147496,155.3724038
3,4,28,154.8065067,155.7145878
3,4,32,154.9229427,156.1265952
3,4,36,155.0661466,156.6069885
3,4,40,155.2375891,157.1527273
3,4,44,155.4381303,157.7599234
3,4,48,155.6680694,158.424406
