# Radio de exclusion inflado d0 + k*sigma a lo largo del horizonte, con la covarianza propagada de dos maneras, para tres particiones del mismo horizonte de 500 s. Configuracion flight: sigma_nav_max = 32.1 m, k = 3.
case,step_h_s,t_into_horizon_s,radius_perstep_m,radius_vanloan_m
1,5,5,217.7619916,218.6362743
1,5,10,218.0477803,220.2122157
1,5,15,218.505033,222.7114515
1,5,20,219.2279263,226.4855673
1,5,25,220.3043383,231.7711423
1,5,30,221.812416,238.6785903
1,5,35,223.8171798,247.2093829
1,5,40,226.367924,249.7431201
1,5,45,229.4970155,249.7431201
1,5,50,233.2203344,249.7431201
1,5,55,237.5391726,249.7431201
1,5,60,242.4430889,249.7431201
1,5,65,247.9131205,249.7431201
1,5,70,249.7431201,249.7431201
1,5,75,249.7431201,249.7431201
1,5,80,249.7431201,249.7431201
1,5,85,249.7431201,249.7431201
1,5,90,249.7431201,249.7431201
1,5,95,249.7431201,249.7431201
1,5,100,249.7431201,249.7431201
1,5,105,249.7431201,249.7431201
1,5,110,249.7431201,249.7431201
1,5,115,249.7431201,249.7431201
1,5,120,249.7431201,249.7431201
1,5,125,249.7431201,249.7431201
1,5,130,249.7431201,249.7431201
1,5,135,249.7431201,249.7431201
1,5,140,249.7431201,249.7431201
1,5,145,249.7431201,249.7431201
1,5,150,249.7431201,249.7431201
1,5,155,249.7431201,249.7431201
1,5,160,249.7431201,249.7431201
1,5,165,249.7431201,249.7431201
1,5,170,249.7431201,249.7431201
1,5,175,249.7431201,249.7431201
1,5,180,249.7431201,249.7431201
1,5,185,249.7431201,249.7431201
1,5,190,249.7431201,249.7431201
1,5,195,249.7431201,249.7431201
1,5,200,249.7431201,249.7431201
1,5,205,249.7431201,249.7431201
1,5,210,249.7431201,249.7431201
1,5,215,249.7431201,249.7431201
1,5,220,249.7431201,249.7431201
1,5,225,249.7431201,249.7431201
1,5,230,249.7431201,249.7431201
1,5,235,249.7431201,249.7431201
1,5,240,249.7431201,249.7431201
1,5,245,249.7431201,249.7431201
1,5,250,249.7431201,249.7431201
1,5,255,249.7431201,249.7431201
1,5,260,249.7431201,249.7431201
1,5,265,249.7431201,249.7431201
1,5,270,249.7431201,249.7431201
1,5,275,249.7431201,249.7431201
1,5,280,249.7431201,249.7431201
1,5,285,249.7431201,249.7431201
1,5,290,249.7431201,249.7431201
1,5,295,249.7431201,249.7431201
1,5,300,249.7431201,249.7431201
1,5,305,249.7431201,249.7431201
1,5,310,249.7431201,249.7431201
1,5,315,249.7431201,249.7431201
1,5,320,249.7431201,249.7431201
1,5,325,249.7431201,249.7431201
1,5,330,249.7431201,249.7431201
1,5,335,249.7431201,249.7431201
1,5,340,249.7431201,249.7431201
1,5,345,249.7431201,249.7431201
1,5,350,249.7431201,249.7431201
1,5,355,249.7431201,249.7431201
1,5,360,249.7431201,249.7431201
1,5,365,249.7431201,249.7431201
1,5,370,249.7431201,249.7431201
1,5,375,249.7431201,249.7431201
1,5,380,249.7431201,249.7431201
1,5,385,249.7431201,249.7431201
1,5,390,249.7431201,249.7431201
1,5,395,249.7431201,249.7431201
1,5,400,249.7431201,249.7431201
1,5,405,249.7431201,249.7431201
1,5,410,249.7431201,249.7431201
1,5,415,249.7431201,249.7431201
1,5,420,249.7431201,249.7431201
1,5,425,249.7431201,249.7431201
1,5,430,249.7431201,249.7431201
1,5,435,249.7431201,249.7431201
1,5,440,249.7431201,249.7431201
1,5,445,249.7431201,249.7431201
1,5,450,249.7431201,249.7431201
1,5,455,249.7431201,249.7431201
1,5,460,249.7431201,249.7431201
1,5,465,249.7431201,249.7431201
1,5,470,249.7431201,249.7431201
1,5,475,249.7431201,249.7431201
1,5,480,249.7431201,249.7431201
1,5,485,249.7431201,249.7431201
1,5,490,249.7431201,249.7431201
1,5,495,249.7431201,249.7431201
1,5,500,249.7431201,249.7431201
2,10,10,217.7993364,220.2122157
2,10,20,218.3447282,226.4855673
2,10,30,219.5683793,238.6785903
2,10,40,221.8124427,249.7431201
2,10,50,225.3446037,249.7431201
2,10,60,230.3312642,249.7431201
2,10,70,236.8328349,249.7431201
2,10,80,244.8224871,249.7431201
2,10,90,249.7431201,249.7431201
2,10,100,249.7431201,249.7431201
2,10,110,249.7431201,249.7431201
2,10,120,249.7431201,249.7431201
2,10,130,249.7431201,249.7431201
2,10,140,249.7431201,249.7431201
2,10,150,249.7431201,249.7431201
2,10,160,249.7431201,249.7431201
2,10,170,249.7431201,249.7431201
2,10,180,249.7431201,249.7431201
2,10,190,249.7431201,249.7431201
2,10,200,249.7431201,249.7431201
2,10,210,249.7431201,249.7431201
2,10,220,249.7431201,249.7431201
2,10,230,249.7431201,249.7431201
2,10,240,249.7431201,249.7431201
2,10,250,249.7431201,249.7431201
2,10,260,249.7431201,249.7431201
2,10,270,249.7431201,249.7431201
2,10,280,249.7431201,249.7431201
2,10,290,249.7431201,249.7431201
2,10,300,249.7431201,249.7431201
2,10,310,249.7431201,249.7431201
2,10,320,249.7431201,249.7431201
2,10,330,249.7431201,249.7431201
2,10,340,249.7431201,249.7431201
2,10,350,249.7431201,249.7431201
2,10,360,249.7431201,249.7431201
2,10,370,249.7431201,249.7431201
2,10,380,249.7431201,249.7431201
2,10,390,249.7431201,249.7431201
2,10,400,249.7431201,249.7431201
2,10,410,249.7431201,249.7431201
2,10,420,249.7431201,249.7431201
2,10,430,249.7431201,249.7431201
2,10,440,249.7431201,249.7431201
2,10,450,249.7431201,249.7431201
2,10,460,249.7431201,249.7431201
2,10,470,249.7431201,249.7431201
2,10,480,249.7431201,249.7431201
2,10,490,249.7431201,249.7431201
2,10,500,249.7431201,249.7431201
3,4,4,217.7575088,218.3947391
3,4,8,218.0120597,219.4939039
3,4,12,218.3763211,221.0791745
3,4,16,218.9112736,223.3549008
3,4,20,219.6750157,226.4855673
3,4,24,220.7212444,230.5860577
3,4,28,222.0976003,235.7188173
3,4,32,223.8441405,241.8989279
3,4,36,225.9921994,249.104827
3,4,40,228.5638366,249.7431201
3,4,44,231.5719552,249.7431201
3,4,48,235.0210409,249.7431201
3,4,52,238.9083666,249.7431201
3,4,56,243.2254545,249.7431201
3,4,60,247.9595899,249.7431201
3,4,64,249.7431201,249.7431201
3,4,68,249.7431201,249.7431201
3,4,72,249.7431201,249.7431201
3,4,76,249.7431201,249.7431201
3,4,80,249.7431201,249.7431201
3,4,84,249.7431201,249.7431201
3,4,88,249.7431201,249.7431201
3,4,92,249.7431201,249.7431201
3,4,96,249.7431201,249.7431201
3,4,100,249.7431201,249.7431201
3,4,104,249.7431201,249.7431201
3,4,108,249.7431201,249.7431201
3,4,112,249.7431201,249.7431201
3,4,116,249.7431201,249.7431201
3,4,120,249.7431201,249.7431201
3,4,124,249.7431201,249.7431201
3,4,128,249.7431201,249.7431201
3,4,132,249.7431201,249.7431201
3,4,136,249.7431201,249.7431201
3,4,140,249.7431201,249.7431201
3,4,144,249.7431201,249.7431201
3,4,148,249.7431201,249.7431201
3,4,152,249.7431201,249.7431201
3,4,156,249.7431201,249.7431201
3,4,160,249.7431201,249.7431201
3,4,164,249.7431201,249.7431201
3,4,168,249.7431201,249.7431201
3,4,172,249.7431201,249.7431201
3,4,176,249.7431201,249.7431201
3,4,180,249.7431201,249.7431201
3,4,184,249.7431201,249.7431201
3,4,188,249.7431201,249.7431201
3,4,192,249.7431201,249.7431201
3,4,196,249.7431201,249.7431201
3,4,200,249.7431201,249.7431201
3,4,204,249.7431201,249.7431201
3,4,208,249.7431201,249.7431201
3,4,212,249.7431201,249.7431201
3,4,216,249.7431201,249.7431201
3,4,220,249.7431201,249.7431201
3,4,224,249.7431201,249.7431201
3,4,228,249.7431201,249.7431201
3,4,232,249.7431201,249.7431201
3,4,236,249.7431201,249.7431201
3,4,240,249.7431201,249.7431201
3,4,244,249.7431201,249.7431201
3,4,248,249.7431201,249.7431201
3,4,252,249.7431201,249.7431201
3,4,256,249.7431201,249.7431201
3,4,260,249.7431201,249.7431201
3,4,264,249.7431201,249.7431201
3,4,268,249.7431201,249.7431201
3,4,272,249.7431201,249.7431201
3,4,276,249.7431201,249.7431201
3,4,280,249.7431201,249.7431201
3,4,284,249.7431201,249.7431201
3,4,288,249.7431201,249.7431201
3,4,292,249.7431201,249.7431201
3,4,296,249.7431201,249.7431201
3,4,300,249.7431201,249.7431201
3,4,304,249.7431201,249.7431201
3,4,308,249.7431201,249.7431201
3,4,312,249.7431201,249.7431201
3,4,316,249.7431201,249.7431201
3,4,320,249.7431201,249.7431201
3,4,324,249.7431201,249.7431201
3,4,328,249.7431201,249.7431201
3,4,332,249.7431201,249.7431201
3,4,336,249.7431201,249.7431201
3,4,340,249.7431201,249.7431201
3,4,344,249.7431201,249.7431201
3,4,348,249.7431201,249.7431201
3,4,352,249.7431201,249.7431201
3,4,356,249.7431201,249.7431201
3,4,360,249.7431201,249.7431201
3,4,364,249.7431201,249.7431201
3,4,368,249.7431201,249.7431201
3,4,372,249.7431201,249.7431201
3,4,376,249.7431201,249.7431201
3,4,380,249.7431201,249.7431201
3,4,384,249.7431201,249.7431201
3,4,388,249.7431201,249.7431201
3,4,392,249.7431201,249.7431201
3,4,396,249.7431201,249.7431201
3,4,400,249.7431201,249.7431201
3,4,404,249.7431201,249.7431201
3,4,408,249.7431201,249.7431201
3,4,412,249.7431201,249.7431201
3,4,416,249.7431201,249.7431201
3,4,420,249.7431201,249.7431201
3,4,424,249.7431201,249.7431201
3,4,428,249.7431201,249.7431201
3,4,432,249.7431201,249.7431201
3,4,436,249.7431201,249.7431201
3,4,440,249.7431201,249.7431201
3,4,444,249.7431201,249.7431201
3,4,448,249.7431201,249.7431201
3,4,452,249.7431201,249.7431201
3,4,456,249.7431201,249.7431201
3,4,460,249.7431201,249.7431201
3,4,464,249.7431201,249.7431201
3,4,468,249.7431201,249.7431201
3,4,472,249.7431201,249.7431201
3,4,476,249.7431201,249.7431201
3,4,480,249.7431201,249.7431201
3,4,484,249.7431201,249.7431201
3,4,488,249.7431201,249.7431201
3,4,492,249.7431201,249.7431201
3,4,496,249.7431201,249.7431201
3,4,500,249.7431201,249.7431201
