# Radio de exclusion inflado d0 + k*sigma a lo largo del horizonte, con la covarianza propagada de dos maneras, para tres particiones del mismo horizonte de 500 s. Configuracion uncapped: sigma_nav_max = inf m, k = 3.
case,step_h_s,t_into_horizon_s,radius_perstep_m,radius_vanloan_m
1,5,5,217.7619916,218.6362743
1,5,10,218.0477803,220.2122157
1,5,15,218.505033,222.7114515
1,5,20,219.2279263,226.4855673
1,5,25,220.3043383,231.7711423
1,5,30,221.812416,238.6785903
1,5,35,223.8171798,247.2093829
1,5,40,226.367924,257.290909
1,5,45,229.4970155,268.812549
1,5,50,233.2203344,281.6526356
1,5,55,237.5391726,295.6942954
1,5,60,242.4430889,310.8327095
1,5,65,247.9131205,326.9771727
1,5,70,253.9248361,344.0505368
1,5,75,260.4509091,361.9875935
1,5,80,267.4630837,380.7332072
1,5,85,274.933548,400.2405586
1,5,90,282.835806,420.4696293
1,5,95,291.1451662,441.3859487
1,5,100,299.8389584,462.9595805
1,5,105,308.8965717,485.1643107
1,5,110,318.2993818,507.9769989
1,5,115,328.0306179,531.3770611
1,5,120,338.0752005,555.3460547
1,5,125,348.4195715,579.8673442
1,5,130,359.0515279,604.925831
1,5,135,369.9600668,630.5077332
1,5,140,381.135244,656.6004041
1,5,145,392.5680477,683.1921836
1,5,150,404.2502869,710.2722737
1,5,155,416.174493,737.8306347
1,5,160,428.333835,765.8578976
1,5,165,440.7220446,794.3452901
1,5,170,453.3333517,823.2845732
1,5,175,466.1624282,852.6679871
1,5,180,479.2043394,882.4882042
1,5,185,492.4545013,912.738289
1,5,190,505.9086438,943.4116622
1,5,195,519.5627784,974.50207
1,5,200,533.4131701,1006.003557
1,5,205,547.4563124,1037.910443
1,5,210,561.6889059,1070.217299
1,5,215,576.1078391,1102.918931
1,5,220,590.7101716,1136.010363
1,5,225,605.4931188,1169.486819
1,5,230,620.4540391,1203.343712
1,5,235,635.5904221,1237.576632
1,5,240,650.8998775,1272.181331
1,5,245,666.3801267,1307.153717
1,5,250,682.0289933,1342.489844
1,5,255,697.8443965,1378.185902
1,5,260,713.8243436,1414.238209
1,5,265,729.9669243,1450.643206
1,5,270,746.2703048,1487.397449
1,5,275,762.7327231,1524.497605
1,5,280,779.352484,1561.940443
1,5,285,796.1279555,1599.722831
1,5,290,813.0575644,1637.841732
1,5,295,830.1397934,1676.294198
1,5,300,847.3731773,1715.077367
1,5,305,864.7563007,1754.188459
1,5,310,882.2877948,1793.624771
1,5,315,899.9663354,1833.383675
1,5,320,917.7906402,1873.462617
1,5,325,935.7594669,1913.859109
1,5,330,953.8716114,1954.570732
1,5,335,972.1259055,1995.595128
1,5,340,990.5212159,2036.930003
1,5,345,1009.056442,2078.573119
1,5,350,1027.730515,2120.522297
1,5,355,1046.542397,2162.775413
1,5,360,1065.491077,2205.330395
1,5,365,1084.575573,2248.185222
1,5,370,1103.794931,2291.337924
1,5,375,1123.148221,2334.786578
1,5,380,1142.634537,2378.529308
1,5,385,1162.252999,2422.564282
1,5,390,1182.002749,2466.889713
1,5,395,1201.882949,2511.503857
1,5,400,1221.892786,2556.405008
1,5,405,1242.031466,2601.591504
1,5,410,1262.298214,2647.061719
1,5,415,1282.692276,2692.814067
1,5,420,1303.212916,2738.846999
1,5,425,1323.859415,2785.158999
1,5,430,1344.631075,2831.74859
1,5,435,1365.527213,2878.614327
1,5,440,1386.547162,2925.754799
1,5,445,1407.690272,2973.168628
1,5,450,1428.955909,3020.854467
1,5,455,1450.343455,3068.811001
1,5,460,1471.852306,3117.036947
1,5,465,1493.481874,3165.531048
1,5,470,1515.231583,3214.29208
1,5,475,1537.100873,3263.318846
1,5,480,1559.089198,3312.610178
1,5,485,1581.196022,3362.164934
1,5,490,1603.420827,3411.982001
1,5,495,1625.763104,3462.060292
1,5,500,1648.222358,3512.398746
2,10,10,217.7993364,220.2122157
2,10,20,218.3447282,226.4855673
2,10,30,219.5683793,238.6785903
2,10,40,221.8124427,257.290909
2,10,50,225.3446037,281.6526356
2,10,60,230.3312642,310.8327095
2,10,70,236.8328349,344.0505368
2,10,80,244.8224871,380.7332072
2,10,90,254.2171235,420.4696293
2,10,100,264.907203,462.9595805
2,10,110,276.7780948,507.9769989
2,10,120,289.7221643,555.3460547
2,10,130,303.6439926,604.925831
2,10,140,318.461529,656.6004041
2,10,150,334.1052435,710.2722737
2,10,160,350.5165106,765.8578976
2,10,170,367.6458548,823.2845732
2,10,180,385.4513351,882.4882042
2,10,190,403.8971648,943.4116622
2,10,200,422.9525745,1006.003557
2,10,210,442.5908944,1070.217299
2,10,220,462.7888193,1136.010363
2,10,230,483.5258225,1203.343712
2,10,240,504.7836872,1272.181331
2,10,250,526.5461321,1342.489844
2,10,260,548.7985093,1414.238209
2,10,270,571.5275603,1487.397449
2,10,280,594.7212171,1561.940443
2,10,290,618.3684396,1637.841732
2,10,300,642.4590811,1715.077367
2,10,310,666.9837773,1793.624771
2,10,320,691.9338528,1873.462617
2,10,330,717.3012435,1954.570732
2,10,340,743.07843,2036.930003
2,10,350,769.258382,2120.522297
2,10,360,795.83451,2205.330395
2,10,370,822.800624,2291.337924
2,10,380,850.1508983,2378.529308
2,10,390,877.8798403,2466.889713
2,10,400,905.9822636,2556.405008
2,10,410,934.4532645,2647.061719
2,10,420,963.2882015,2738.846999
2,10,430,992.4826768,2831.74859
2,10,440,1022.03252,2925.754799
2,10,450,1051.933775,3020.854467
2,10,460,1082.182686,3117.036947
2,10,470,1112.775684,3214.29208
2,10,480,1143.709383,3312.610178
2,10,490,1174.980563,3411.982001
2,10,500,1206.586168,3512.398746
3,4,4,217.7575088,218.3947391
3,4,8,218.0120597,219.4939039
3,4,12,218.3763211,221.0791745
3,4,16,218.9112736,223.3549008
3,4,20,219.6750157,226.4855673
3,4,24,220.7212444,230.5860577
3,4,28,222.0976003,235.7188173
3,4,32,223.8441405,241.8989279
3,4,36,225.9921994,249.104827
3,4,40,228.5638366,257.290909
3,4,44,231.5719552,266.3988507
3,4,48,235.0210409,276.3660906
3,4,52,238.9083666,287.13129
3,4,56,243.2254545,298.6373452
3,4,60,247.9595899,310.8327095
3,4,64,253.0952284,323.6716829
3,4,68,258.6151959,337.1141421
3,4,72,264.5016422,351.1250097
3,4,76,270.7367506,365.6736392
3,4,80,277.30323,380.7332072
3,4,84,284.1846319,396.2801573
3,4,88,291.3655306,412.2937123
3,4,92,298.8316063,428.7554556
3,4,96,306.5696591,445.648978
3,4,100,314.567579,462.9595805
3,4,104,322.8142887,480.6740273
3,4,108,331.2996712,498.780338
3,4,112,340.0144922,517.2676157
3,4,116,348.9503199,536.1259018
3,4,120,358.0994493,555.3460547
3,4,124,367.4548291,574.9196475
3,4,128,377.0099961,594.8388819
3,4,132,386.759014,615.096514
3,4,136,396.6964191,635.6857923
3,4,140,406.8171712,656.6004041
3,4,144,417.1166102,677.8344289
3,4,148,427.5904171,699.3822989
3,4,152,438.2345797,721.2387645
3,4,156,449.0453619,743.398864
3,4,160,460.019277,765.8578976
3,4,164,471.1530634,788.6114039
3,4,168,482.4436636,811.6551399
3,4,172,493.888205,834.9850626
3,4,176,505.4839835,858.5973136
3,4,180,517.2284484,882.4882042
3,4,184,529.119189,906.6542033
3,4,188,541.153923,931.0919255
3,4,192,553.3304855,955.7981211
3,4,196,565.6468199,980.7696668
3,4,200,578.100969,1006.003557
3,4,204,590.6910677,1031.496898
3,4,208,603.4153357,1057.246898
3,4,212,616.2720715,1083.250862
3,4,216,629.2596465,1109.506189
3,4,220,642.3765004,1136.010363
3,4,224,655.621136,1162.760949
3,4,228,668.9921152,1189.755589
3,4,232,682.4880553,1216.991998
3,4,236,696.1076253,1244.467962
3,4,240,709.8495426,1272.181331
3,4,244,723.7125705,1300.130017
3,4,248,737.6955151,1328.311992
3,4,252,751.7972228,1356.725285
3,4,256,766.0165783,1385.367979
3,4,260,780.3525024,1414.238209
3,4,264,794.8039501,1443.334158
3,4,268,809.3699086,1472.654058
3,4,272,824.0493957,1502.196185
3,4,276,838.8414587,1531.95886
3,4,280,853.7451724,1561.940443
3,4,284,868.7596379,1592.139337
3,4,288,883.8839817,1622.553981
3,4,292,899.1173542,1653.182853
3,4,296,914.4589287,1684.024466
3,4,300,929.9079005,1715.077367
3,4,304,945.463486,1746.340138
3,4,308,961.1249216,1777.811389
3,4,312,976.8914629,1809.489766
3,4,316,992.7623843,1841.373941
3,4,320,1008.736978,1873.462617
3,4,324,1024.814552,1905.754524
3,4,328,1040.994434,1938.248419
3,4,332,1057.275964,1970.943088
3,4,336,1073.658499,2003.837337
3,4,340,1090.141411,2036.930003
3,4,344,1106.724085,2070.219942
3,4,348,1123.405921,2103.706035
3,4,352,1140.186333,2137.387188
3,4,356,1157.064745,2171.262325
3,4,360,1174.040596,2205.330395
3,4,364,1191.113337,2239.590364
3,4,368,1208.282429,2274.041222
3,4,372,1225.547345,2308.681977
3,4,376,1242.907571,2343.511657
3,4,380,1260.3626,2378.529308
3,4,384,1277.91194,2413.733994
3,4,388,1295.555105,2449.124799
3,4,392,1313.29162,2484.700822
3,4,396,1331.121022,2520.46118
3,4,400,1349.042854,2556.405008
3,4,404,1367.05667,2592.531456
3,4,408,1385.162032,2628.839689
3,4,412,1403.358511,2665.32889
3,4,416,1421.645687,2701.998256
3,4,420,1440.023147,2738.846999
3,4,424,1458.490488,2775.874345
3,4,428,1477.047312,2813.079536
3,4,432,1495.693232,2850.461827
3,4,436,1514.427866,2888.020487
3,4,440,1533.25084,2925.754799
3,4,444,1552.161788,2963.664058
3,4,448,1571.160351,3001.747575
3,4,452,1590.246176,3040.00467
3,4,456,1609.418917,3078.434678
3,4,460,1628.678236,3117.036947
3,4,464,1648.023799,3155.810834
3,4,468,1667.455281,3194.755713
3,4,472,1686.972362,3233.870964
3,4,476,1706.574728,3273.155984
3,4,480,1726.262072,3312.610178
3,4,484,1746.034093,3352.232963
3,4,488,1765.890494,3392.023767
3,4,492,1785.830986,3431.982031
3,4,496,1805.855284,3472.107203
3,4,500,1825.963111,3512.398746
