# Un caso por fila. dv_ms es el impulso tangencial planificado (signo = sentido); sens_m_per_mms es la separacion abierta en el encuentro por mm/s aplicado un medio periodo antes.
sigma_nav_m,sigma_obj_m,dInc_deg,vrel_ms,bplane_angle_deg,miss0_m,sens_m_per_mms,d_target_m,dv_ms,converged
4.8,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,173.3137035,0,1
4.8,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,215.8695601,0,1
4.8,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,367.967881,0.005648576683,1
4.8,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,803.4806915,0.02919310847,1
12,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,180.1066234,0,1
12,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,218.5687899,0,1
12,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,368.7987137,0.005696259479,1
12,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,803.7582842,0.02920772538,1
32.1,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,209.7129699,0,1
32.1,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,235.7957396,0,1
32.1,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,374.7934766,0.006039565833,1
32.1,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,805.7889326,0.02931464469,1
40,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,222.6251249,0,1
40,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,245.234862,0,1
40,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,378.5626328,0.006254771916,1
40,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,807.0904764,0.02938316866,1
100,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,324.5692091,0.003116074803,1
100,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,335.1207145,0.003740322639,1
100,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,428.2820101,0.009054664828,1
100,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,825.9940045,0.03037789778,1
250,10,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,583.5601559,0.01751938289,1
250,30,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,587.9151504,0.0177530802,1
250,100,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,634.7070013,0.02025574635,1
250,300,32.90850799,4071.440714,306.2347066,273.8242006,15.29781196,933.8800254,0.03603938909,1
4.8,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,172.3309931,-0.007465071636,1
4.8,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,212.7303696,-0.0106468863,1
4.8,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,357.4233479,-0.02066177614,1
4.8,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,771.8255762,-0.04733293224,1
12,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,179.3522274,-0.008048830572,1
12,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,215.5589755,-0.0108575798,1
12,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,358.2962439,-0.02071965978,1
12,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,772.1172937,-0.04735145366,1
32.1,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,209.3361884,-0.01039251819,1
32.1,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,233.4098871,-0.0121639792,1
32.1,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,364.5846109,-0.02113618222,1
32.1,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,774.2508768,-0.04748691197,1
40,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,222.3156501,-0.01135650283,1
40,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,243.0912416,-0.01285847499,1
40,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,368.5299184,-0.02139709769,1
40,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,775.6180362,-0.04757370662,1
100,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,324.4406869,-0.01846125566,1
100,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,334.0271156,-0.01910374399,1
100,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,420.1024347,-0.0247833569,1
100,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,795.4439768,-0.04883198533,1
250,10,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,583.5084235,-0.03533210154,1
250,30,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,587.4539739,-0.03558474375,1
250,100,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,630.057627,-0.03830869806,1
250,300,76.03736593,8853.231279,4.879446834,115.6136658,-1.046488172,907.6925017,-0.05594461121,1
4.8,10,121.0715149,12514.93629,201.260639,241.4403921,3.556791001,172.4237726,0,1
