# Percentiles de |dv| por celda (sigma_nav, sigma_obj), sobre las 1500 geometrias de cada una.
sigma_nav_m,sigma_obj_m,n,p10_dv_mms,p50_dv_mms,p90_dv_mms,mean_dv_mms,frac_no_manoeuvre
4.8,10,1500,0,0.1162516154,10.7361392,3.808258276,0.4966666667
4.8,30,1500,0,3.855795173,15.68053238,6.148695635,0.362
4.8,100,1500,4.497034523,14.83315581,36.76016713,18.42834525,0.02266666667
4.8,300,1500,23.92520112,43.01203928,101.0077747,54.29013618,0
12,10,1500,0,0.8860507106,11.74859393,4.245238408,0.4733333333
12,30,1500,0,4.141478647,16.10529879,6.375506276,0.3506666667
12,100,1500,4.627292506,14.92779099,36.96665223,18.5318492,0.02066666667
12,300,1500,23.95472236,43.05380973,101.0380745,54.32197982,0
32.1,10,1500,0,3.898790331,16.19643815,6.173112855,0.3633333333
32.1,30,1500,0,6.065041335,19.40832669,7.82766293,0.2793333333
32.1,100,1500,5.333203134,15.56851742,38.16542376,19.27402885,0.01066666667
32.1,300,1500,24.15005343,43.2271256,101.7630366,54.55449916,0
40,10,1500,0,5.280276052,17.86780075,7.121317432,0.3133333333
40,30,1500,0,7.063140973,20.66031303,8.647057102,0.236
40,100,1500,5.794796945,15.90578491,38.81149113,19.73123476,0.006
40,300,1500,24.26631532,43.36093682,102.0386267,54.70314677,0
100,10,1500,5.219064151,14.25413665,33.08221755,16.8868625,0
100,30,1500,5.931097883,14.89863537,34.53588743,17.77248259,0
100,100,1500,10.48358308,20.10033361,48.356995,25.30043762,0
100,300,1500,26.08621727,45.01123655,106.0849437,56.83117698,0
250,10,1500,21.96139684,32.26601447,76.01525413,41.57699362,0
250,30,1500,22.16109441,32.58319759,76.781981,41.9127788,0
250,100,1500,24.28842075,35.33777528,82.57653538,45.4959904,0
250,300,1500,34.56134074,53.2108025,123.5821724,68.25090394,0
