# Mediana de |dv| sobre las 1500 geometrias de cada celda.
sigma_nav_m,sigma_obj_m,median_dv_mms
4.8,10,0.1162516154
12,10,0.8860507106
32.1,10,3.898790331
40,10,5.280276052
100,10,14.25413665
250,10,32.26601447
4.8,30,3.855795173
12,30,4.141478647
32.1,30,6.065041335
40,30,7.063140973
100,30,14.89863537
250,30,32.58319759
4.8,100,14.83315581
12,100,14.92779099
32.1,100,15.56851742
40,100,15.90578491
100,100,20.10033361
250,100,35.33777528
4.8,300,43.01203928
12,300,43.05380973
32.1,300,43.2271256
40,300,43.36093682
100,300,45.01123655
250,300,53.2108025
