# Recursion de covarianza del filtro para un ciclo de trabajo periodico
# de 360 s. ceiling = sigma en el peor instante del ciclo, floor = en el
# mejor, mean = media temporal. El techo lo fija el canal auxiliar
# siempre activo, no el ciclo de trabajo.
duty_pct,ceiling_m,floor_m,mean_m
0,32.1254,32.1254,32.1254
2,32.1254,3.92122,29.0253
6.083,32.1254,3.68626,27.8234
10.17,32.1254,3.68572,26.629
14.25,32.1254,3.68572,25.5142
18.33,32.1253,3.68572,24.3199
22.42,32.1253,3.68572,23.1257
26.5,32.1252,3.68572,22.0111
30.58,32.1252,3.68572,20.817
34.67,32.1251,3.68572,19.6231
38.75,32.1244,3.68572,18.4308
42.83,32.1223,3.68572,17.3218
46.92,32.1158,3.68572,16.1421
51,32.1009,3.68572,14.9748
55.08,32.0753,3.68572,13.8958
59.17,32.034,3.68572,12.7454
63.25,31.9853,3.68572,11.5943
67.33,31.9474,3.68572,10.5158
71.42,31.9163,3.68572,9.351
75.5,31.7979,3.68572,8.17647
79.58,31.2632,3.68572,7.08303
83.67,29.3217,3.68572,5.95516
87.75,24.6406,3.68572,4.95771
91.83,17.0518,3.68572,4.21572
95.92,9.48148,3.68572,3.82703
100,3.68572,3.68572,3.68572
