# Serie temporal de la incertidumbre de navegacion del filtro.
t_s,sigma_nav_m,time_since_fix_s
0,8.635092648,0
3,6.263994597,0
6,5.410361921,0
9,5.032848334,0
12,4.85495761,0
15,4.76907088,0
18,4.727170099,0
21,4.706630393,0
24,4.696538878,0
27,4.691575418,0
30,4.689132609,0
33,4.687929856,0
36,4.687337722,0
39,4.687046204,0
42,4.68690268,0
45,4.686831794,0
48,4.686797129,0
51,4.686779946,0
54,4.68677153,0
57,4.686767467,0
60,5.595597831,2
63,6.501180708,5
66,7.50422711,8
69,8.649432775,11
72,9.94573441,14
75,11.37911038,17
78,12.92183172,20
81,14.53907202,23
84,16.19368249,26
87,17.84961044,29
90,19.47409976,32
93,21.03878129,35
96,22.51998932,38
99,23.89875902,41
102,25.16084919,44
105,26.29685141,47
108,27.3022512,50
111,28.17725324,53
114,28.92628213,56
117,29.5571896,59
120,30.08029235,62
123,30.50738269,65
126,30.85083779,68
129,31.12289804,71
132,31.33514181,74
135,31.49814851,77
138,31.62131723,80
141,31.71280403,83
144,31.77954851,86
147,31.82734686,89
150,31.86096278,92
153,31.88424605,95
156,31.90025467,98
159,31.91137545,101
162,31.91942808,104
165,31.92576632,107
168,31.93136494,110
171,31.93689162,113
174,31.94277371,116
177,31.94925227,119
180,31.95642858,122
183,31.96430163,125
186,31.97280074,128
189,31.98180741,131
192,31.99117918,134
195,32.0007623,137
198,32.01040403,140
201,32.01996115,143
204,32.02930445,146
207,32.03832316,149
210,32.04692652,152
213,32.05504324,155
216,32.06262149,158
219,32.06962845,161
222,32.07604651,164
225,32.08187224,167
228,32.08711516,170
231,32.09179336,173
234,32.09593368,176
237,32.09956751,179
240,32.1027317,182
243,32.10546417,185
246,32.10780469,188
249,32.10979283,191
252,32.11146728,194
255,32.11286557,197
258,32.11402268,200
261,32.1149709,203
264,32.11574049,206
267,32.116358,209
270,32.11684828,212
273,32.11723267,215
276,32.11753005,218
279,32.11775684,221
282,32.11792718,224
285,32.11805307,227
288,32.11814426,230
291,32.11820806,233
294,32.11825249,236
297,32.11828268,239
300,32.11830319,242
303,32.11831699,245
306,32.11832659,248
309,32.11833446,251
312,32.11834084,254
315,32.11834743,257
318,32.11835487,260
321,32.11836301,263
324,32.11837224,266
327,32.11838267,269
330,32.11839439,272
333,32.11840643,275
336,32.11841923,278
339,32.118432,281
342,32.11844526,284
345,32.11845802,287
348,32.11847029,290
351,32.11848248,293
354,32.11849418,296
357,32.1185054,299
360,8.021055516,0
363,6.071732172,0
366,5.329123831,0
369,4.995235676,0
372,4.836947524,0
375,4.760327834,0
378,4.72289959,0
381,4.70453872,0
384,4.69551314,0
387,4.691071689,0
390,4.688885025,0
393,4.687808214,0
396,4.687278184,0
399,4.687017014,0
402,4.686888263,0
405,4.686825041,0
408,4.686793755,0
411,4.686778209,0
414,4.686770467,0
417,4.686766973,0
420,5.595597082,2
423,6.501180148,5
426,7.504227013,8
429,8.649432814,11
432,9.945734141,14
435,11.37911006,17
438,12.92183099,20
441,14.53907116,23
444,16.19368135,26
447,17.84960907,29
450,19.47409839,32
453,21.03878001,35
456,22.51998796,38
459,23.89875781,41
462,25.16084801,44
465,26.29684993,47
468,27.30225,50
471,28.17725209,53
474,28.9262812,56
477,29.55718893,59
480,30.08029235,62
483,30.5073826,65
486,30.8508376,68
489,31.12289781,71
492,31.33514149,74
495,31.49814874,77
498,31.62131722,80
501,31.71280419,83
504,31.77954831,86
507,31.82734699,89
510,31.86096308,92
513,31.88424646,95
516,31.90025528,98
519,31.91137584,101
522,31.91942868,104
525,31.92576743,107
528,31.93136594,110
531,31.93689246,113
534,31.94277423,116
537,31.94925288,119
540,31.95642941,122
543,31.96430285,125
546,31.97280142,128
549,31.98180823,131
552,31.99118,134
555,32.00076315,137
558,32.01040491,140
561,32.01996203,143
564,32.02930531,146
567,32.03832411,149
570,32.04692731,152
573,32.05504398,155
576,32.06262238,158
579,32.06962902,161
582,32.07604696,164
585,32.08187297,167
588,32.08711576,170
591,32.09179408,173
594,32.09593439,176
597,32.09956828,179
600,32.10273237,182
603,8.020788802,0
606,6.071648761,0
609,5.329088691,0
612,4.995219219,0
615,4.83693967,0
618,4.760323899,0
621,4.722897985,0
624,4.704537674,0
627,4.695512446,0
630,4.691071413,0
633,4.688885078,0
636,4.687808407,0
639,4.687278074,0
642,4.687016943,0
645,4.686888224,0
648,4.686825008,0
651,4.6867937,0
654,4.68677831,0
657,4.686770859,0
660,4.686767254,0
663,5.595597532,3
666,6.501180536,6
669,7.50422694,9
672,8.649432449,12
675,9.945733552,15
678,11.37910958,18
681,12.92183054,21
684,14.53907049,24
687,16.19368065,27
690,17.84960857,30
693,19.47409784,33
696,21.03877949,36
699,22.51998781,39
702,7.615736151,0
705,5.937985496,0
708,5.271835063,0
711,4.968542957,0
714,4.824108068,0
717,4.754068734,0
720,4.719830048,0
723,4.703029098,0
726,4.694769544,0
729,4.69070543,0
732,4.68870459,0
735,4.687719416,0
738,4.687234194,0
741,4.686995187,0
744,4.68687772,0
747,4.686819763,0
750,4.68679135,0
753,4.686777093,0
756,4.68677023,0
759,4.686766585,0
762,5.595597019,2
765,6.501179981,5
768,7.504226465,8
771,8.649432461,11
774,9.945733692,14
777,11.37910967,17
780,12.92183091,20
783,14.53907094,23
786,16.19368111,26
789,17.84960885,29
792,19.47409798,32
795,21.0387797,35
798,22.51998754,38
801,23.89875742,41
804,25.16084774,44
807,26.29685004,47
810,27.30225016,50
813,28.1772525,53
816,28.92628169,56
819,29.55718958,59
822,30.08029283,62
825,30.50738342,65
828,30.85083857,68
831,31.12289857,71
834,31.33514257,74
837,31.49814949,77
840,31.62131795,80
843,31.71280516,83
846,31.77954949,86
849,31.82734804,89
852,31.86096411,92
855,31.88424734,95
858,31.90025638,98
861,31.91137668,101
864,31.91942905,104
867,31.92576795,107
870,31.93136659,110
873,31.93689317,113
876,31.94277533,116
879,31.94925418,119
882,31.95643062,122
885,31.9643038,125
888,31.97280235,128
891,31.98180912,131
894,31.99118084,134
897,32.00076408,137
900,32.0104061,140
903,32.01996301,143
906,32.02930647,146
909,32.03832526,149
912,32.04692849,152
915,32.05504535,155
918,32.06262382,158
921,32.06963078,161
924,32.07604884,164
927,32.08187461,167
930,32.08711754,170
933,32.09179579,173
936,32.09593577,176
939,32.09956999,179
942,32.10273416,182
945,32.10546675,185
948,32.10780745,188
951,32.10979587,191
954,32.11147052,194
957,32.11286878,197
960,32.1140259,200
963,32.1149742,203
966,32.1157437,206
969,32.11636133,209
972,32.11685162,212
975,32.11723572,215
978,32.11753303,218
981,32.11775987,221
984,32.11793045,224
987,32.11805581,227
990,32.11814653,230
993,32.11821072,233
996,32.11825552,236
999,32.11828602,239
1002,32.11830635,242
1005,32.11832011,245
1008,32.11832976,248
1011,32.11833704,251
1014,32.11834378,254
1017,32.11835036,257
1020,32.11835776,260
1023,32.11836629,263
1026,32.11837549,266
1029,32.11838585,269
1032,32.11839709,272
1035,32.1184094,275
1038,32.11842164,278
1041,32.11843468,281
1044,32.11844772,284
1047,32.11846092,287
1050,32.11847358,290
1053,32.11848551,293
1056,32.11849731,296
1059,32.11850822,299
1062,8.021055235,0
1065,6.071732093,0
1068,5.329123834,0
1071,4.995235708,0
1074,4.836947379,0
1077,4.760327596,0
1080,4.722899751,0
1083,4.704538589,0
1086,4.69551293,0
1089,4.691071837,0
1092,4.688885449,0
1095,4.687808514,0
1098,4.687278296,0
1101,4.687016799,0
1104,4.686887981,0
1107,4.686824597,0
1110,4.686793547,0
1113,4.686778235,0
1116,4.68677077,0
1119,4.686767155,0
1122,5.595597539,2
1125,6.501180508,5
1128,7.504227054,8
1131,8.649432512,11
1134,9.94573386,14
1137,11.37910998,17
1140,12.92183073,20
1143,14.53907086,23
1146,16.19368108,26
1149,17.84960892,29
1152,19.4740981,32
1155,21.03878006,35
1158,22.51998826,38
1161,23.89875832,41
1164,25.16084842,44
1167,26.29685109,47
1170,27.30225119,50
1173,28.17725373,53
1176,28.92628304,56
1179,29.55719133,59
1182,30.08029469,62
1185,30.50738516,65
1188,30.85084033,68
1191,31.12290058,71
1194,31.33514485,74
1197,31.49815196,77
1200,31.62132079,80
1203,31.71280792,83
1206,31.7795521,86
1209,31.82735047,89
1212,31.86096647,92
1215,31.88424951,95
1218,31.9002586,98
1221,31.91137919,101
