# Arquitectura propuesta: el guiado planifica la maniobra fuera del QP y el MPC solo sigue la referencia. Plazo de tiempo real 30 s.
t_s,solve_time_s,u_norm_ms2,violation_ms2,exitflag,qp_fallback
3180,0.0709542,0,-0.04166666667,1,0
3210,0.014475,0,-0.04166666667,1,0
3240,0.0094042,0,-0.04166666667,1,0
3270,0.0082602,0,-0.04166666667,1,0
3300,0.0330547,0,-0.04166666667,1,0
3330,0.0035618,0,-0.04166666667,1,0
3360,0.0031547,2.832698869e-05,-0.04159941956,1,0
3390,0.0033908,4.712825023e-05,-0.04159938824,1,0
3420,0.0029207,5.889750864e-05,-0.04159938729,1,0
3450,0.0033673,6.550430904e-05,-0.0415994114,1,0
3480,0.0025107,6.835022587e-05,-0.04159952648,1,0
3510,0.0027284,6.848597766e-05,-0.04159977677,1,0
3540,0.0038294,6.669924129e-05,-0.04160172625,1,0
3570,0.0035756,6.358043514e-05,-0.04160496954,1,0
3600,0.0031087,5.957193959e-05,-0.04160906556,1,0
3630,0.0030061,5.5004889e-05,-0.04161368489,1,0
3660,0.0042774,5.012665902e-05,-0.04161858203,1,0
3690,0.003838,4.512140355e-05,-0.04162357481,1,0
3720,0.0036465,4.012541033e-05,-0.04162852895,1,0
3750,0.0026782,3.52385999e-05,-0.04163334665,1,0
3780,0.0039944,3.053315673e-05,-0.04163795786,1,0
3810,0.0036635,2.606002938e-05,-0.04164231387,1,0
3840,0.0036831,2.185384726e-05,-0.04164638234,1,0
3870,0.0037618,1.793666159e-05,-0.0416501436,1,0
3900,0.0036887,1.432081488e-05,-0.04165358776,1,0
3930,0.0037453,1.101117277e-05,-0.0416567125,1,0
3960,0.0030057,8.006920925e-06,-0.04165952133,1,0
3990,0.0035776,5.303215768e-06,-0.04165957444,1,0
4020,0.003618,2.893905618e-06,-0.04165958956,1,0
4050,0.0039403,7.986208821e-07,-0.04165959873,1,0
4080,0.002865,1.170659447e-06,-0.04165960182,1,0
4110,0.0042125,2.7705769e-06,-0.04165959919,1,0
4140,0.0036638,4.153310479e-06,-0.04165959181,1,0
4170,0.0037175,5.321057316e-06,-0.0416595814,1,0
4200,0.0027002,6.288468799e-06,-0.04165957068,1,0
4230,0.0026692,7.071584395e-06,-0.04165956364,1,0
4260,0.0040507,7.686580411e-06,-0.0416595659,1,0
4290,0.0025881,8.14937918e-06,-0.04165958518,1,0
4320,0.00382,8.475445825e-06,-0.04165962203,1,0
4350,0.0025352,8.679654998e-06,-0.04165967228,1,0
4380,0.0025703,8.776195771e-06,-0.04165976541,1,0
4410,0.0030271,8.778502878e-06,-0.04165989155,1,0
4440,0.0023043,8.699208424e-06,-0.04166008554,1,0
4470,0.0029014,8.550110355e-06,-0.04166033533,1,0
4500,0.0022907,8.342155181e-06,-0.04166062986,1,0
4530,0.0023451,8.085432777e-06,-0.04166093976,1,0
4560,0.0023127,7.789181472e-06,-0.04166100816,1,0
4590,0.0022888,7.461801894e-06,-0.04166111039,1,0
4620,0.0032962,7.110878193e-06,-0.04166124249,1,0
4650,0.0025584,6.743205352e-06,-0.04166140061,1,0
4680,0.0023924,6.364821525e-06,-0.04166158102,1,0
4710,0.0022976,5.981044355e-06,-0.04166178013,1,0
4740,0.0036354,5.596510349e-06,-0.04166199453,1,0
4770,0.004062,5.215216514e-06,-0.04166222101,1,0
4800,0.0026265,4.840563496e-06,-0.04166245655,1,0
4830,0.0029749,4.475399604e-06,-0.04166269836,1,0
4860,0.0027304,4.122065101e-06,-0.04166294385,1,0
4890,0.0028027,3.782436333e-06,-0.04166319067,1,0
4920,0.0038254,3.457969217e-06,-0.04166343669,1,0
4950,0.0026074,3.149741775e-06,-0.04166368001,1,0
4980,0.0025793,2.858495357e-06,-0.04166391893,1,0
5010,0.0036188,2.584674291e-06,-0.04166415198,1,0
5040,0.0025742,2.328464068e-06,-0.04166437788,1,0
5070,0.0035817,2.089827448e-06,-0.04166459557,1,0
5100,0.0035527,1.868536002e-06,-0.04166480416,1,0
5130,0.0038803,1.664215413e-06,-0.04166500292,1,0
5160,0.0025537,1.476354024e-06,-0.0416651913,1,0
5190,0.0026733,1.304348879e-06,-0.04166536891,1,0
5220,0.0040094,1.147527785e-06,-0.04166553549,1,0
5250,0.0036868,1.005175296e-06,-0.04166569089,1,0
5280,0.0037582,8.765577719e-07,-0.0416658351,1,0
5310,0.0031602,7.60947929e-07,-0.0416659682,1,0
5340,0.0035975,6.57649462e-07,-0.04166609036,1,0
