step_h_s,Np,solve_time_s
3,125,5.4385196
3,125,0.1660017
3,125,0.1529414
3,125,0.1701996
3,125,0.2168557
3,125,0.0852575
3,125,0.0832198
3,125,0.0877648
3,125,0.1012972
3,125,0.0972429
3,125,0.0970657
3,125,0.0949491
3,125,0.1046879
3,125,0.1057253
3,125,0.1025543
3,125,0.0942622
3,125,0.0888442
3,125,0.0841138
3,125,0.0830857
3,125,0.0909747
3,125,0.0883578
3,125,0.0858028
3,125,0.0865872
3,125,0.084498
3,125,0.0863843
3,125,0.0887127
3,125,0.0872701
3,125,0.09818
3,125,0.104962
3,125,0.0978679
3,125,0.0932793
3,125,0.0902613
3,125,0.0838419
3,125,0.088497
3,125,0.0905906
3,125,0.0858757
3,125,4.6107024
3,125,4.4173762
3,125,5.2569295
3,125,5.0556008
3,125,5.0304993
3,125,5.1541097
3,125,5.1811852
3,125,5.1450864
3,125,5.5753895
3,125,5.8774762
3,125,6.4597907
3,125,45.1379906
3,125,37.6163002
3,125,29.3019707
3,125,40.1749913
3,125,14.5863374
3,125,15.9790366
3,125,37.1408116
3,125,12.1996437
3,125,1.4785096
3,125,1.4057794
3,125,1.5984428
3,125,1.7133018
3,125,1.3341947
3,125,1.1252449
3,125,1.4131439
3,125,1.4784856
3,125,1.664283
3,125,1.7394472
3,125,1.7554902
3,125,1.7627681
3,125,1.7409412
3,125,1.729525
3,125,1.6509841
3,125,1.5928865
3,125,1.5917154
3,125,1.4865191
3,125,1.411647
3,125,1.3828969
3,125,1.3914844
3,125,1.4116843
3,125,1.427686
3,125,1.4467012
3,125,1.3730171
3,125,1.2857523
3,125,1.3509042
3,125,1.4772149
3,125,1.3482255
3,125,1.3310493
3,125,1.2944727
3,125,1.3359939
3,125,1.3411832
3,125,1.2198491
3,125,0.9315533
3,125,1.0404908
3,125,1.235984
3,125,1.3913259
3,125,1.2528133
3,125,1.4221403
3,125,1.4915652
3,125,1.3298349
3,125,1.0028014
3,125,1.0992773
3,125,0.987435
3,125,0.912007
3,125,0.8684916
3,125,0.7578751
3,125,0.6174997
3,125,0.5439839
3,125,0.3919044
3,125,0.2508724
3,125,0.196053
3,125,0.1133377
3,125,0.099949
3,125,0.089341
3,125,0.0911215
3,125,0.0919273
3,125,0.0832216
3,125,0.0804138
3,125,0.0804547
3,125,0.0842123
3,125,0.0866179
3,125,0.0816801
3,125,0.0872113
3,125,0.0889163
3,125,0.0823405
3,125,0.0834372
3,125,0.0865034
3,125,0.0816369
3,125,0.0847418
3,125,0.0817284
3,125,0.0790766
3,125,0.0807066
3,125,0.0779774
3,125,0.0840976
3,125,0.0823075
3,125,0.0774689
3,125,0.0797497
5,100,2.2235051
5,100,0.0787904
5,100,0.0780777
5,100,0.0788747
5,100,0.1560012
5,100,0.0610129
5,100,0.0549513
5,100,0.0535596
5,100,0.0516261
5,100,0.0542727
5,100,0.0658912
5,100,0.0669548
5,100,0.068659
5,100,0.102868
5,100,0.0856397
5,100,0.0805018
5,100,0.0733736
5,100,0.0635458
5,100,0.0632836
5,100,0.076909
5,100,0.0683151
5,100,0.0658935
5,100,0.0878982
5,100,2.705731
5,100,2.583024
5,100,2.6896374
5,100,2.6625923
5,100,2.9812628
5,100,25.4592221
5,100,25.1712034
5,100,24.5381113
5,100,24.0552819
5,100,24.6373757
5,100,0.8088406
5,100,0.6377151
5,100,0.6375439
5,100,0.4724235
5,100,0.6273908
5,100,0.681904
5,100,0.7594948
5,100,0.7162413
5,100,0.6737067
5,100,0.6552323
5,100,0.6056418
5,100,0.6301556
5,100,0.6124418
5,100,0.587113
5,100,0.5730249
5,100,0.680468
5,100,0.5638298
5,100,0.5117254
5,100,0.4692281
5,100,0.5229039
5,100,0.4381664
5,100,0.356187
5,100,0.3876663
5,100,0.5251461
5,100,0.4839198
5,100,0.5338365
5,100,0.3928436
5,100,0.3059848
5,100,0.2668403
5,100,0.210229
5,100,0.1155675
5,100,0.0560252
5,100,0.0529174
5,100,0.0525633
5,100,0.051289
5,100,0.052628
5,100,0.0525639
5,100,0.0503453
5,100,0.0495812
5,100,0.0482974
5,100,0.0555193
5,100,0.0494293
5,100,0.0515468
5,100,0.0492128
5,100,0.048407
5,100,0.0485074
5,100,0.0499336
5,100,0.0509791
10,50,0.0760397
10,50,0.042746
10,50,0.0336372
10,50,0.0363003
10,50,0.1188036
10,50,0.0299347
10,50,0.022345
10,50,0.0184034
10,50,0.0154508
10,50,0.0154925
10,50,0.0174529
10,50,0.0176492
10,50,0.0172492
10,50,0.0207355
10,50,0.0247999
10,50,0.0576394
10,50,0.113517
10,50,0.1192229
10,50,0.0975249
10,50,0.062223
10,50,0.0765214
10,50,0.088465
10,50,0.0808349
10,50,0.0689484
10,50,0.0695196
10,50,0.0934883
10,50,0.0650043
10,50,0.0564626
10,50,0.0472983
10,50,0.0351899
10,50,0.0349588
10,50,0.0245162
10,50,0.0196847
10,50,0.0204034
10,50,0.0223401
10,50,0.0191623
10,50,0.0188562
10,50,0.0191737
10,50,0.01899
10,50,0.0172248
10,50,0.0168589
5,150,6.9837561
5,150,0.1584312
5,150,0.1513935
5,150,0.1471777
5,150,0.2495528
5,150,0.1267705
5,150,0.1404398
5,150,0.1391414
5,150,0.1417963
5,150,0.1355613
5,150,0.1347722
5,150,0.1291416
5,150,0.1502291
5,150,0.153576
5,150,0.1366835
5,150,0.1230768
5,150,0.1220985
5,150,0.1303601
5,150,0.132101
5,150,0.1328525
5,150,7.2723854
5,150,8.2119267
5,150,8.230825
5,150,8.5420826
5,150,8.8267302
5,150,8.5837776
5,150,9.7593173
