stage,functional,deltaV,minSeparation,minRobustMargin,finalPositionError,postEncounterRmsError,Q1,Q2,Q3,Q4,Q5,Q6,R1,R2,R3,S1,S2,S3
baseline-full,1,6.5997846983015,377.299410603221,276.261533555092,58.8832308855524,92.7929337246798,5e-07,5e-07,5e-07,1e-07,1e-07,2e-07,6000,4500,3600,20000,50000,80000
group,1,3.62465535660947,372.219055933102,271.03032379825,126.872087604138,194.887265442445,5e-07,5e-07,5e-07,1e-07,1e-07,2e-07,6000,4500,3600,20000,50000,80000
group,0,4.45088629198468,429.364178222244,327.857504297418,474.305881218858,500.000068596259,2.50593616813636e-07,2.50593616813636e-07,2.50593616813636e-07,5.01187233627272e-08,5.01187233627272e-08,1.00237446725454e-07,11971.5738898133,8978.68041735996,7182.94433388797,20000,50000,80000
group,0,2.59853160175029,428.560169485914,325.644988052783,577.88608675293,558.347125127224,2.50593616813636e-07,2.50593616813636e-07,2.50593616813636e-07,5.01187233627272e-08,5.01187233627272e-08,1.00237446725454e-07,23886.4302332098,17914.8226749074,14331.8581399259,39905.2462993776,99763.115748444,159620.98519751
group,0,2.91998703424096,437.382068011879,329.642032279217,858.070500338217,755.862913676328,1.58113883008419e-07,1.58113883008419e-07,1.58113883008419e-07,3.16227766016838e-08,3.16227766016838e-08,6.32455532033676e-08,30071.2340176363,22553.4255132272,18042.7404105818,63245.5532033676,158113.883008419,252982.21281347
group,0,4.20590280449811,426.253269999967,290.505865695431,219.497778753975,291.636521835754,5e-07,5e-07,5e-07,1e-07,1e-07,2e-07,11971.5738898133,8978.68041735996,7182.94433388797,39905.2462993776,99763.115748444,159620.98519751
group,0,3.31571749035565,380.015413425844,278.062926450392,246.32145056902,294.287866907382,7.92446596230557e-07,7.92446596230557e-07,7.92446596230557e-07,1.58489319246111e-07,1.58489319246111e-07,3.16978638492223e-07,18973.6659610103,14230.2494707577,11384.1995766062,63245.5532033676,158113.883008419,252982.21281347
group,0,2.65661120991842,457.931114891283,357.93611686979,689.534659900209,648.48030104705,3.15478672240097e-07,3.15478672240097e-07,3.15478672240097e-07,6.30957344480193e-08,6.30957344480193e-08,1.26191468896039e-07,37857.4406688116,28393.0805016087,22714.464401287,31697.8638492223,79244.6596230557,126791.455396889
group,0,2.93714648648091,409.209321264954,306.719148423176,329.831786811802,370.503848504779,3.15478672240097e-07,3.15478672240097e-07,3.15478672240097e-07,6.30957344480193e-08,6.30957344480193e-08,1.26191468896039e-07,9509.35915476668,7132.01936607501,5705.61549286001,126191.468896039,315478.672240097,504765.875584155
group,0,10.4468248114579,574.158796866581,471.86468941752,779.246754973896,989.425214521468,4.91925047864058e-07,4.91925047864058e-07,4.91925047864058e-07,9.83850095728117e-08,9.83850095728117e-08,1.96770019145623e-07,3429.53895335085,2572.15421501314,2057.72337201051,169224.489054193,423061.222635482,676897.956216772
group,0,2.80937322104865,407.317510790262,298.759840198796,615.652591116484,570.418931060436,2.6206264177926e-07,2.6206264177926e-07,2.6206264177926e-07,5.2412528355852e-08,5.2412528355852e-08,1.04825056711704e-07,32762.7306630345,24572.0479972759,19657.6383978207,30347.2698289272,75868.174572318,121389.079315709
group,0,4.64425683547352,411.597176355634,289.435657069077,221.875722669912,295.928264264486,4.29927948816868e-07,4.29927948816868e-07,4.29927948816868e-07,8.59855897633736e-08,8.59855897633736e-08,1.71971179526747e-07,5670.83674535175,4253.12755901381,3402.50204721105,12240.9867999457,30602.4669998642,48963.9471997827
group,1,3.59468012233464,352.987488796414,251.69730932777,142.002767856492,170.887009055696,4.6986587202908e-07,4.6986587202908e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
group,0,2.77232428420309,446.320430341908,324.143305423717,754.198726294759,695.320661059726,1.27180481313374e-07,1.27180481313374e-07,1.27180481313374e-07,2.54360962626748e-08,2.54360962626748e-08,5.08721925253496e-08,15935.425428554,11951.5690714155,9561.2552571324,45587.3026398702,113968.256599676,182349.210559481
group,1,3.66012226657325,443.619562737404,344.136747411913,138.756712994089,245.588345767421,5.96352113662056e-07,5.96352113662056e-07,5.96352113662056e-07,1.19270422732411e-07,1.19270422732411e-07,2.38540845464822e-07,5139.17454243322,3854.38090682491,3083.50472545993,98780.3263974263,246950.815993566,395121.305589705
group,0,4.09556262024974,387.317768366577,285.582635528541,170.82928214005,239.019048374066,9.89248611085516e-07,9.89248611085516e-07,9.89248611085516e-07,1.97849722217103e-07,1.97849722217103e-07,3.95699444434206e-07,22130.4526394908,16597.8394796181,13278.2715836945,113208.376969421,283020.942423553,452833.507877684
group,1,4.30654203456662,312.78313748452,213.488248188753,17.2857567675028,64.2458020219416,9.04291659745202e-07,9.04291659745202e-07,9.04291659745202e-07,1.8085833194904e-07,1.8085833194904e-07,3.61716663898081e-07,3726.15893722241,2794.61920291681,2235.69536233345,17489.1555944667,43722.8889861667,69956.6223778667
group,0,4.36313783619512,484.040768246347,372.629975566128,230.157122115911,305.145382677719,2.09107739382529e-07,2.09107739382529e-07,2.09107739382529e-07,4.18215478765057e-08,4.18215478765057e-08,8.36430957530115e-08,3768.37883507266,2826.28412630449,2261.02730104359,41882.0586337075,104705.146584269,167528.23453483
group,0,3.01215354995187,410.559799058628,308.451760322471,633.583300253342,588.941735177118,2.15694910008061e-07,2.15694910008061e-07,2.15694910008061e-07,4.31389820016122e-08,4.31389820016122e-08,8.62779640032244e-08,23468.193435248,17601.145076436,14080.9160611488,11953.4253564795,29883.5633911988,47813.7014259181
local,1,3.84283396863627,389.876677013712,283.903315111703,45.4263639574306,123.834958167253,9.37505667549614e-07,4.6986587202908e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,4.73593596088385,468.473724158731,362.732707914808,238.551590342365,323.588024766807,2.35490776578121e-07,4.6986587202908e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,4.47536432577749,370.689653264728,267.729097019613,49.3503431075958,138.857467993783,4.6986587202908e-07,9.37505667549614e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,5.25428090732975,459.704004895065,349.85900246047,172.134721717439,273.318227130539,4.6986587202908e-07,2.35490776578121e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
